Data Type,Item Name,From Date,To Date
EPWRF Concorded Series,building of ships and boats,1973-1974,2023-2024
EPWRF Concorded Series,casting of metals,1973-1974,2023-2024
EPWRF Concorded Series,installation of industrial machinery and equipment,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of air and spacecraft and related machinery,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of articles of fur,1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",1973-1974,2023-2024
EPWRF Concorded Series,manufacture of basic iron and steel,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of basic precious and other non-ferrous metals,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of batteries and accumulators,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of beverages,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of coke oven products,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of communication equipment,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of computers and peripheral equipment,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of consumer electronics,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of dairy products,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of domestic appliances,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of electric lighting equipment,1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",1973-1974,2023-2024
EPWRF Concorded Series,manufacture of electronic components,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of footwear,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of furniture,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of games and toys,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of general purpose machinery,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of glass and glass products,1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of grain mill products, starches and starch products",1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of irradiation, electromedical and electrotherapeutic equipment",1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of jewellery, bijouterie and related articles",1973-1974,2023-2024
EPWRF Concorded Series,manufacture of knitted and crocheted apparel,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of magnetic and optical media,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of man-made fibres,1973-1974,2023-2024
